name,slug
Итальянская кухня,italyanskaya-kuhnya
Вегетарианские блюда,vegetarianskie-blyuda
Морепродукты,moreprodukty
Закуски,zakuski
Быстро и просто,bystro-i-prosto
Завтрак,zavtrak
Супы,supy
Десерты,deserty
Напитки,napitki
Основные блюда,osnovnye-blyuda
Диетические рецепты,dieticheskie-retsepty
Праздничные блюда,prazdnichnye-blyuda
Выпечка,vypechka
Постные блюда,postnye-blyuda
Низкокалорийные блюда,nizkokaloriynye-blyuda
Гарниры,garniry
Салаты,salaty
Фастфуд,fastfud
Мясные блюда,myasnye-blyuda
Азиатская кухня,aziatskaya-kuhnya
Американская кухня,amerikanskaya-kuhnya
Восточная кухня,vostochnaya-kuhnya
Рыбные блюда,rybnye-blyuda